"ID","Earnings"
1,9821.54677757489
2,9806.09414071317
3,9822.76658670186
4,9808.55813742428
5,9812.11660145805
6,9805.96219929985
7,9814.58928870178
8,9805.96219929985
9,9821.54677757489
10,9812.11660145805
11,9807.36515097356
12,9805.78805759495
13,9813.17926495098
14,9814.50882115306
15,9777.48567678723
16,9826.88029184587
17,9807.34974003374
18,9916.59105302045
19,9811.81807308781
20,9810.13989654862
21,9807.36515097356
22,9805.73569855098
23,9813.17926495098
24,9809.34213857856
25,9817.45924698115
26,9805.96219929985
27,9814.50882115306
28,9811.81807308781
29,9807.36515097356
30,9808.55813742428
31,9827.53203445926
32,9821.54677757489
33,9817.45924698115
34,9805.96219929985
35,9810.53058991569
36,9807.34974003374
37,9811.81807308781
38,9826.98614032454
39,9805.73569855098
40,9809.34213857856
41,9817.45924698115
42,9822.76658670186
43,9827.30180066656
44,9806.49220123245
45,9827.35217770792
46,9806.49220123245
47,9814.58928870178
48,9805.73569855098
49,9806.49220123245
50,9800.78160283491
51,9812.11660145805
52,9813.17926495098
53,9805.78805759495
54,9808.27837131612
55,9807.36515097356
56,9806.49220123245
57,9807.34974003374
58,9813.17926495098
59,9827.35217770792
60,9820.24218620595
61,9826.44386292438
62,9806.38324136755
63,9818.87268679936
64,9807.34974003374
65,9806.62843189757
66,9818.87268679936
67,9806.49220123245
68,9762.339415653
69,9812.11660145805
70,9807.34974003374
71,9811.81807308781
72,9782.75424552396
73,9808.55813742428
74,9814.58928870178
75,9771.43209523801
76,9825.40904815347
77,9913.21793833695
78,9821.63818893259
79,9807.34974003374
80,9791.84358918057
81,9826.98614032454
82,9806.62843189757
83,9811.81807308781
84,9823.88292624805
85,9807.34974003374
86,9808.27837131612
87,9817.45924698115
88,9808.27837131612
89,9806.49220123245
90,9825.40904815347
91,9819.97818692843
92,9806.49220123245
93,9807.34974003374
94,9816.0238293733
95,9814.58928870178
96,9805.73569855098
97,9808.55813742428
98,9812.11660145805
99,9807.34974003374
100,9810.53058991569
101,9807.36515097356
102,9757.79448717332
103,9821.54677757489
104,9806.09414071317
105,9803.63079930966
106,9807.36515097356
107,9810.13989654862
108,9809.34213857856
109,9819.97818692843
110,9805.78805759495
111,9808.55813742428
112,9781.46968401666
113,9808.55813742428
114,9810.53058991569
115,9805.78805759495
116,9809.02148882869
117,9805.78805759495
118,9825.40904815347
119,9805.96219929985
120,9805.96219929985
121,9805.78805759495
122,9806.49220123245
123,9817.45924698115
124,9812.11660145805
125,9779.79300670096
126,9817.45924698115
127,9809.02148882869
128,9814.58928870178
129,9823.88292624805
130,9816.09515334355
131,9821.54677757489
